,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
94635,10/14/2018,28.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.8087499, -73.95258581]"
94646,10/14/2018,72.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.65819343, -74.00103224]"
94777,10/14/2018,101.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.60295159, -73.74997626]"
94838,10/14/2018,114.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76930609, -73.91550818]"
94892,10/14/2018,47.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.88745131, -73.84760779]"
94951,10/14/2018,52.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.86905853, -73.87963015]"
94979,10/14/2018,41.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.81639185, -73.89529641]"
94981,10/14/2018,44.0,BRONX,116,FELONY,SEX CRIMES,SODOMY 3,"[40.83732351, -73.91983076]"
95055,10/14/2018,50.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.88338258, -73.90233331]"
95102,10/14/2018,107.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.72993936, -73.81043314]"
95118,10/14/2018,121.0,STATEN ISLAND,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.62368882, -74.15065813]"
95131,10/14/2018,23.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78926022, -73.94771]"
95151,10/14/2018,46.0,BRONX,104,FELONY,RAPE,RAPE 3,"[40.85396027, -73.90012087]"
95379,10/13/2018,25.0,MANHATTAN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.80069433, -73.94110929]"
95401,10/13/2018,18.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76481827, -73.98518977]"
95504,10/13/2018,46.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.85396027, -73.90012087]"
95518,10/13/2018,122.0,STATEN ISLAND,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.57384965, -74.10549616]"
95658,10/13/2018,77.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.67458331, -73.93022154]"
95728,10/13/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75686098, -73.87565666]"
95797,10/13/2018,121.0,STATEN ISLAND,104,FELONY,RAPE,"RAPE 1,ATTEMPT","[40.62368882, -74.15065813]"
95876,10/13/2018,94.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.72688262, -73.95287135]"
95985,10/13/2018,42.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.82256992, -73.91130717]"
96001,10/13/2018,120.0,STATEN ISLAND,104,FELONY,RAPE,RAPE 3,"[40.64472613, -74.07748316]"
96111,10/13/2018,112.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.72236369, -73.85147389]"
96174,10/13/2018,40.0,BRONX,104,FELONY,RAPE,RAPE 3,"[40.81039602, -73.92531074]"
96183,10/13/2018,73.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.67065507, -73.91339092]"
96192,10/13/2018,113.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.67970041, -73.77604737]"
96279,10/13/2018,49.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.85616296, -73.84439712]"
96307,10/13/2018,73.0,BROOKLYN,104,FELONY,RAPE,RAPE 3,"[40.67065507, -73.91339092]"
96323,10/13/2018,47.0,BRONX,104,FELONY,RAPE,RAPE 3,"[40.88745131, -73.84760779]"
96329,10/13/2018,107.0,QUEENS,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.72993936, -73.81043314]"
96330,10/13/2018,90.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.70622201, -73.95097436]"
96382,10/12/2018,77.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"OBSCENITY, PERFORMANCE 3","[40.67458331, -73.93022154]"
96405,10/12/2018,101.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.60295159, -73.74997626]"
96420,10/12/2018,17.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75687491, -73.97054406]"
96470,10/12/2018,111.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.76018548, -73.76784258]"
96474,10/12/2018,46.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.85396027, -73.90012087]"
96517,10/12/2018,20.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78405987, -73.97502051]"
96582,10/12/2018,78.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.68057972, -73.97431656]"
96685,10/12/2018,10.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.7426993, -73.99865538]"
96822,10/12/2018,10.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.7426993, -73.99865538]"
96913,10/12/2018,14.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75393894, -73.99484365]"
96977,10/12/2018,52.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.86905853, -73.87963015]"
96991,10/12/2018,113.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.67970041, -73.77604737]"
97019,10/12/2018,77.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.67458331, -73.93022154]"
97024,10/12/2018,25.0,MANHATTAN,104,FELONY,RAPE,RAPE 1,"[40.80069433, -73.94110929]"
97059,10/12/2018,103.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.70704748, -73.79261190000001]"
